Product Code,Name,Type,Description,HSN Code,SAC Code,Unit,Selling Price,Purchase Price,Track Inventory,Current Stock,Minimum Stock,Active,Notes
PRD-000001,Laptop Computer,product,High-performance business laptop with 16GB RAM,8471,,PCS,75000.00,65000.00,TRUE,50,10,TRUE,Dell Inspiron 15 3000 series
PRD-000002,Office Chair,product,Ergonomic office chair with lumbar support and adjustable height,9401,,PCS,12000.00,8500.00,TRUE,25,5,TRUE,Executive leather chair
PRD-000003,Smartphone,product,Android smartphone 128GB storage with dual camera,8517,,PCS,25000.00,20000.00,TRUE,100,20,TRUE,Samsung Galaxy A54
PRD-000004,Printer Paper,product,A4 size white printing paper 80GSM,4802,,BOX,500.00,350.00,TRUE,200,50,TRUE,500 sheets per box
PRD-000005,USB Cable,product,USB Type-C charging and data transfer cable,8544,,PCS,800.00,500.00,TRUE,150,30,TRUE,1 meter length braided
PRD-000006,Wireless Mouse,product,Optical wireless mouse with USB receiver,8471,,PCS,1500.00,1000.00,TRUE,75,15,TRUE,Logitech M220 Silent
PRD-000007,Keyboard,product,Mechanical keyboard with RGB backlight,8471,,PCS,3500.00,2500.00,TRUE,40,8,TRUE,Gaming mechanical keyboard
PRD-000008,Monitor,product,24-inch LED monitor Full HD 1080p,8528,,PCS,15000.00,12000.00,TRUE,30,5,TRUE,Dell 24 inch LED monitor
PRD-000009,Desk Lamp,product,LED desk lamp with adjustable brightness,9405,,PCS,2500.00,1800.00,TRUE,60,12,TRUE,Touch control LED lamp
PRD-000010,File Cabinet,product,4-drawer steel file cabinet with lock,9403,,PCS,8000.00,6000.00,TRUE,20,3,TRUE,Office storage cabinet
PRD-000011,Whiteboard,product,Magnetic whiteboard with aluminum frame,9610,,PCS,4500.00,3200.00,TRUE,15,3,TRUE,4x3 feet whiteboard
PRD-000012,Projector,product,HD projector for presentations and meetings,8528,,PCS,35000.00,28000.00,TRUE,10,2,TRUE,3000 lumens projector
PRD-000013,Headphones,product,Noise-cancelling over-ear headphones,8518,,PCS,8000.00,6000.00,TRUE,45,10,TRUE,Sony WH-1000XM4
PRD-000014,Power Bank,product,10000mAh portable power bank with fast charging,8507,,PCS,2000.00,1400.00,TRUE,80,15,TRUE,Dual USB output
PRD-000015,Webcam,product,HD webcam for video conferencing,8525,,PCS,4000.00,3000.00,TRUE,35,7,TRUE,1080p webcam with microphone
SRV-000001,IT Consulting,service,Information technology consulting and advisory services,,998313,HOUR,2500.00,0.00,FALSE,0,0,TRUE,Technical consultation and system analysis
SRV-000002,Software Development,service,Custom software development for web and mobile applications,,998314,HOUR,3000.00,0.00,FALSE,0,0,TRUE,Full-stack development services
SRV-000003,Digital Marketing,service,Online marketing including SEO and social media management,,998399,MONTH,15000.00,0.00,FALSE,0,0,TRUE,SEO and social media marketing
SRV-000004,Training Services,service,Corporate training and professional development workshops,,998399,DAY,8000.00,0.00,FALSE,0,0,TRUE,Employee skill development training
SRV-000005,Maintenance Support,service,Equipment maintenance and technical support services,,998729,MONTH,5000.00,0.00,FALSE,0,0,TRUE,Annual maintenance contract
SRV-000006,Data Entry,service,Data entry and document processing services,,998399,HOUR,500.00,0.00,FALSE,0,0,TRUE,Accurate data entry services
SRV-000007,Graphic Design,service,Logo design and branding services,,998399,HOUR,1500.00,0.00,FALSE,0,0,TRUE,Creative design and branding
SRV-000008,Web Hosting,service,Website hosting and domain management services,,998313,MONTH,2000.00,0.00,FALSE,0,0,TRUE,Shared hosting with SSL
SRV-000009,Accounting Services,service,Bookkeeping and financial accounting services,,998212,MONTH,10000.00,0.00,FALSE,0,0,TRUE,Monthly accounting and GST filing
SRV-000010,Legal Consultation,service,Legal advisory and documentation services,,998219,HOUR,3500.00,0.00,FALSE,0,0,TRUE,Business legal consultation
PRD-000016,Stationery Kit,product,Complete office stationery kit with pens and notebooks,4802,,BOX,1200.00,800.00,TRUE,100,20,TRUE,Office supplies bundle
PRD-000017,Coffee Machine,product,Automatic coffee machine for office use,8516,,PCS,25000.00,20000.00,TRUE,8,2,TRUE,Bean-to-cup coffee maker
PRD-000018,Water Dispenser,product,Hot and cold water dispenser with storage,8419,,PCS,15000.00,12000.00,TRUE,12,2,TRUE,20-liter capacity dispenser
PRD-000019,Air Purifier,product,HEPA air purifier for office spaces,8421,,PCS,18000.00,14000.00,TRUE,15,3,TRUE,Room coverage 400 sq ft
PRD-000020,Shredder,product,Paper shredder for document security,8472,,PCS,8500.00,6500.00,TRUE,18,3,TRUE,Cross-cut paper shredder
